id,image_title_vernacular,image_title_latin,image_subject,church_or_sanctuary,locality,diocese_latin,diocese_modern,country,first_coronation,coronation_dates,strongest_evidence,popes,legates,confidence,source_count
nostra-domina-a-sacro-corde-iesu-como,,Nostra Domina a Sacro Corde (Iesu),Blessed Virgin Mary,Templum archipresbyterale S. Georgii Martyris,Como,Comensis,Como,Italy,,,retrospective_attestation,Pius PP. XII,"Andreas Carolus Ferrari, S.R.E. Cardinalis, Archiepiscopus Mediolanensis",high,1
santa-maria-di-tutte-le-grazie-della-quercia-nel,Santa Maria di tutte le Grazie della Quercia nella Chiesa di Conflenti Inferiori,,Blessed Virgin Mary,Madonna della Quercia (di Visora),Conflenti,,,Italy,1782,1782,chapter_decree,,,low,1
santa-maria-del-soccorso-di-cori-cori,Santa Maria del Soccorso di Cori,,Blessed Virgin Mary,Madonna del Soccorso,Cori,,,Italy,1778,1778,chapter_decree,,,low,1
santa-maria-in-santa-maria-nuova-cortona,Santa Maria in Santa Maria Nuova,,Blessed Virgin Mary,Santa Maria Nuova,Cortona,,,Italy,1687,1687,chapter_decree,,,low,1
santa-maria-della-manna-cortona-manna,Santa Maria della Manna,,Blessed Virgin Mary,Santa Maria della Manna,Cortona (Manna),,,Italy,1741,1741,chapter_decree,,,low,1
santa-maria-lauretana-nella-chiesa-di-s-abbondio,Santa Maria Lauretana nella Chiesa di S. Abbondio de Teatini di Cremona,,Blessed Virgin Mary,Sant'Abbondio (Theatines) — Madonna Lauretana,Cremona,,,Italy,1732-08-17,1732-08-17,chapter_decree,,,medium,2
santa-maria-della-neve-sancta-maria-ad-nives-cug,"Santa Maria della Neve, Sancta Maria ad Nives",Beata Maria Virgo ad Nives,Blessed Virgin Mary,Sanctuarium seu Ecclesia Conlegiata Beatae Mariae Virginis ad Nives,Cuglieri (Sardinia),Bosanensis,Bosa,Italy,1893-08-05,1893-08-05,chapter_decree,Benedictus PP. XV,,high,2
image-custonaci,,,Blessed Virgin Mary,,Custonaci,,,Italy,1753,1753,chapter_decree,,,low,1
santa-maria-de-custonacci-di-monte-s-giuliano-cu,Santa Maria de Custonacci di Monte S. Giuliano,,Blessed Virgin Mary,Santuario di Custonaci,Custonaci,,,Italy,1753,1753,chapter_decree,,,low,1
madonna-della-catena-dipignano-laurignano,Madonna della Catena,Beata Maria Virgo « a Catena »,Blessed Virgin Mary,Santuario della Madonna della Catena,Dipignano (Laurignano),Cosentina,Cosenza,Italy,1921-09-11,1921-09-11; 1984,chapter_decree,Paulus PP. VI,,medium,3
santa-maria-addolorata-santa-maria-della-pieta-e,"Santa Maria Addolorata, Santa Maria della Pietà",,Blessed Virgin Mary,Collegiata di Santa Maria della Pietà,Eboli,,,Italy,1920-05-30,1920-05-30,chapter_decree,,,medium,1
image-enna,,,Blessed Virgin Mary,,Enna,,,Italy,1797,1797,chapter_decree,,,low,1
madonna-delle-grazie-este-este,Madonna delle Grazie (Este),Beata Maria Virgo Gratiarum,Blessed Virgin Mary,Ecclesia B. M. V. Gratiarum,Este,Patavina,Padua (Padova),Italy,,,retrospective_attestation,Pius PP. XI,,high,1
santa-maria-della-misericordia-di-fabriano-fabri,Santa Maria della Misericordia di Fabriano,,Blessed Virgin Mary,Madonna della Misericordia,Fabriano,,,Italy,1778,1778,chapter_decree,,,low,1
madonna-del-buon-gesu-fabriano,Madonna del Buon Gesù,Beatissima Virgo Maria a Bono Iesu,Blessed Virgin Mary,,Fabriano,Fabrianensis et Matelicensis,Fabriano-Matelica,Italy,1898-09-08,1898-09-08,retrospective_attestation,Pius PP. XII,,high,1
madonna-delle-grazie-faenza,Madonna delle Grazie,Beata Maria Virgo « Maria opifera » seu « gratiarum »,Blessed Virgin Mary,"Ecclesia Cathedralis Sancti Petri Apostoli, in Sacello B. Mariae Virginis",Faenza,Faventina,Faenza,Italy,1931,1931,retrospective_attestation,Pius PP. XII,"Michael Lega, S.R.E. Cardinalis",high,1
santa-maria-al-mare-fermo-diocese,Santa Maria al Mare,,Blessed Virgin Mary,Santa Maria a Mare,Fermo (diocese),,,Italy,1683,1683,chapter_decree,,,low,1
santa-maria-delle-grazie-nella-metropolitana-di,Santa Maria delle Grazie nella Metropolitana di Ferrara,,Blessed Virgin Mary,Cattedrale (Madonna delle Grazie),Ferrara,,,Italy,1778,1778,chapter_decree,,,low,1
santa-maria-dei-sette-veli-nella-chiesa-collegia,Santa Maria dei Sette Veli nella Chiesa Collegiata di Foggia,,Blessed Virgin Mary,Collegiata (Madonna dei Sette Veli),Foggia,,,Italy,1781,1781,chapter_decree,,,low,1
iconavetere-foggia,Iconavetere,Imago Beatae Mariae Virginis vulgo « Iconavetere » nuncupata,Blessed Virgin Mary,Templum cathedrale metropolitanae Ecclesiae Fodianae,Foggia,Fodiana,Foggia,Italy,,,papal_coronation_act,Ioannes Paulus PP. II,"Fodianus Ordinarius (Iosephus Lenotti, Archiepiscopus Fodianus, was the petitioner and is charged to impose the crown 'Nostro nomine et auctoritate')",medium,1
domina-nostra-a-gratiis-in-folgaria-folgaria,,Domina Nostra a gratiis in Folgaria,Blessed Virgin Mary,Aedes B. Mariae Virgini opiferae sacra (church entrusted to the Friars Minor Capuchin),Folgaria,Tridentina (archidioecesis),Trento,Italy,1954,1954,retrospective_attestation,Pius PP. XII,"Angelus Iosephus S. R. E. Presb. Cardinalis Roncalli, Venetiarum Patriarcha",medium,1
santa-maria-della-pianta-in-foligno-foligno,Santa Maria della Pianta in Foligno,"Beatissima Virgo de Planta [de Planctu] Fulgini (OCR: 'Virginis de Planta Fulgini', 'Virginis de Plantu')",Blessed Virgin Mary with Child,"Chiesa della (Archi)Confraternita della Madonna del Pianto e di S. Leonardo, Foligno (crowning performed in the Cattedrale di S. Feliciano)",Foligno,,Foligno,Italy,1713-05-14,1713-05-14,chapter_decree,,"Mons. Guido del Palagio (de Balagio / del Baglio), Patrizio Romano, canonico della Basilica Vaticana, Referendario di Segnatura",high,2
madonna-di-follina-santa-maria-assunta-annunciaz,Madonna di Follina (Santa Maria Assunta / Annunciazione),Beata Maria Virgo cum Puero Iesu (Annuntiatio B. M. V.),Blessed Virgin Mary,"Ecclesia seu sanctuarium Annuntiationis B. M. V., abbey of Follina (Servites)",Follina,Cenetensis,Ceneda (Vittorio Veneto),Italy,1921,1921,retrospective_attestation,Benedictus PP. XV,,medium,1
madonna-del-rosario-di-fontanellato-fontanellato,Madonna del Rosario di Fontanellato,Vetus Deiparae Virginis simulacrum (Sacratissimum Rosarium B. Mariae Virginis),Blessed Virgin Mary,"Sanctuarium sive Ecclesia Sacratissimi Rosarii B. Mariae Virginis, with the former Dominican convent",Fontanellato,Parmensis,Parma,Italy,1660,1660; 1925,papal_legate_deputation,Pius PP. X; Pius PP. XI,"Eugenius Card. Tosi, Archiepiscopus Mediolanensis",high,2
santa-maria-di-forano-forano-appignano-diocese-o,Santa Maria di Forano,,Blessed Virgin Mary,Santa Maria di Forano,"Forano (Appignano), diocese of Osimo",,,Italy,1715,1715,chapter_decree,,,low,1
santa-maria-lauretana-di-forigi-forio-ischia,Santa Maria Lauretana di Forigi,,Blessed Virgin Mary,Santa Maria di Loreto,Forio (Ischia),,,Italy,1786,1786,chapter_decree,,,low,1
santa-maria-nella-cattedrale-di-forli-forli,Santa Maria nella Cattedrale di Forlì,,Blessed Virgin Mary,Cattedrale (Madonna del Fuoco),Forlì,,,Italy,1686,1686,chapter_decree,,,low,1
madonna-di-capocroce-b-v-detta-di-capo-croce-fra,Madonna di Capocroce (B. V. detta di Capo croce),S. Maria Capitis Crucis / Imagines Beatissimae Virginis et Pueri D. N. Iesu Christi existentes in Ecclesia nuncupata di S. M. di Capo croce,Blessed Virgin Mary,"Chiesa di S. Maria di Capocroce dei PP. Teatini (S. Gaetano), fuori delle mura di Frascati",Frascati,Cremensis,Frascati (Tusculana),Italy,1713-10-28,1713-10-28,chapter_decree,Pius PP. XII,"Faustino Crispolti, Canon of the Vatican Basilica, Referendary and Auditor of Card. Spinola (deputed by Chapter 22 Oct 1713)",high,3
santa-maria-della-neve-di-frosinone-frosinone,Santa Maria della Neve di Frosinone,,Blessed Virgin Mary,Santa Maria della Neve,Frosinone,,,Italy,1694,1694,chapter_decree,,,low,1
madonna-di-gallivaggio-madre-della-misericordia,"Madonna di Gallivaggio, Madre della Misericordia",,Blessed Virgin Mary,Santuario dell'Apparizione di Maria Vergine,"Gallivaggio (Valle Spluga), diocese of Como",,,Italy,1742-06-23,1742-06-23,chapter_decree,,,medium,2
santa-maria-di-galloro-galloro-ariccia,Santa Maria di Galloro,,Blessed Virgin Mary,Santuario di Galloro,Galloro (Ariccia),,,Italy,1726,1726,chapter_decree,,,low,1
madonna-delle-grazie-di-valle-gavi-valle,Madonna delle Grazie di Valle,,Blessed Virgin Mary,Santuario di Nostra Signora delle Grazie della Valle,Gavi (Valle),,,Italy,1904-09-08,1904-09-08,chapter_decree,,,medium,1
santa-maria-del-buonconsiglio-di-genazano-genazz,Santa Maria del Buonconsiglio di Genazano,,Blessed Virgin Mary,Santa Maria del Buon Consiglio,Genazzano,,,Italy,1682,1682,chapter_decree,,,low,1
nostra-signora-delle-vigne-genoa,Nostra Signora delle Vigne,Deipara a Vineis,Blessed Virgin Mary,Templum curiale Deiparae a Vineis (Santa Maria delle Vigne),Genoa,Ianuensis,Genoa,Italy,1920-11-21,1920-11-21,papal_legate_deputation,Benedictus PP. XV,"Thomas Pius S. R. E. Card. Boggiani, Archbishop of Genoa",high,1
s-maria-liberatrice-genoa,S. Maria Liberatrice,Sancta Maria Liberatrix ('sub Invocatione Sanctę Marię Liberatricis'),Blessed Virgin Mary,chapel (sacellum) of the Metropolitan church of Genoa (Ecclesię Metropolitanę Januensi),Genoa,,Genoa (Metropolitan),Italy,,,chapter_decree,,,low,1
la-madonnetta-genoa-carbonara,La Madonnetta,,Blessed Virgin Mary,Santuario della Madonnetta (N. S. Assunta di Carbonara),Genoa (Carbonara),,,Italy,1920-06-27,1920-06-27,chapter_decree,,,medium,1
santa-maria-dell-orto-genoa-cremeno,Santa Maria dell’Orto,,Blessed Virgin Mary,"San Pietro Apostolo, Cremeno",Genoa (Cremeno),,,Italy,1909-08-22,1909-08-22,chapter_decree,,,medium,1
santa-maria-del-soccorso-di-genova-genoa-genova,Santa Maria del Soccorso di Genova,,Blessed Virgin Mary,Santa Maria del Soccorso,Genoa (Genova),,,Italy,1683,1683,chapter_decree,,,low,1
madonna-di-loreto-oregina-genoa-oregina,"Madonna di Loreto, Oregina",,Blessed Virgin Mary,Santuario di Nostra Signora di Loreto in Oregina,Genoa (Oregina),,,Italy,1905-06-01,1905-06-01,chapter_decree,,,medium,1
santa-maria-della-rosa-genoa-diocese,Santa Maria della Rosa,,Blessed Virgin Mary,Santa Maria della Rosa,Genoa (diocese),,,Italy,1769,1769,chapter_decree,,,low,1
madonna-di-gibilmanna-gibilmanna-diocese-of-cefa,Madonna di Gibilmanna,,Blessed Virgin Mary,,Gibilmanna (diocese of Cefalù),,,Italy,,,chapter_decree,,,low,1
santa-maria-della-pace-di-giuliano-giugliano-in,Santa Maria della Pace di Giuliano,,Blessed Virgin Mary,Madonna della Pace,Giugliano in Campania,,,Italy,1749,1749,chapter_decree,,,low,1
madonna-di-barbana-grado-isola-di-barbana,Madonna di Barbana,,Blessed Virgin Mary,Santuario di Barbana,Grado (Isola di Barbana),,,Italy,1863-08-15,1863-08-15,chapter_decree,,,medium,1
santa-maria-di-costantinopoli-nella-chiesa-di-gr,Santa Maria di Costantinopoli nella Chiesa di Granani,,Blessed Virgin Mary,Santa Maria di Costantinopoli,"Gragnano, diocese of Lettere",,,Italy,1778,1778,chapter_decree,,,low,1
santa-maria-nella-catedrale-di-groseto-grosseto,Santa Maria nella Catedrale di Groseto,,Blessed Virgin Mary,Cattedrale (Madonna delle Grazie),Grosseto,,,Italy,1774,1774,chapter_decree,,,low,1
santa-maria-di-grotta-ferrata-grottaferrata,Santa Maria di Grotta Ferrata,,Blessed Virgin Mary,Abbazia di Grottaferrata,Grottaferrata,,,Italy,1688,1688,chapter_decree,,,low,1
santa-maria-del-suffraggio-nella-collegiata-di-s,Santa Maria del Suffraggio nella Collegiata di S. Giovan Batista delle Grotte,Beata Maria Virgo vulgo « dei Suffragio »,Blessed Virgin Mary,Collegiata di S. Giovanni Battista (Madonna del Suffragio),Grotte di Castro,Faliscodunensis,Montefiascone,Italy,1728,1728,chapter_decree,Paulus PP. VI,,high,2
della-porta-guastalla,della Porta,Beata Maria Virgo a porta,Blessed Virgin Mary,templum Beatae Mariae Virginis « della Porta » in Guastalla,Guastalla,Guastallensis,Guastalla,Italy,,,retrospective_attestation,Paulus PP. VI,,medium,1
madonna-del-bosco-imbersago,Madonna del Bosco,Durateum Beatae Mariae Virginis Nemorensis simulacrum,Blessed Virgin Mary,Santuario della Madonna del Bosco,Imbersago,Mediolanensis,Milan,Italy,1954-08-29,1954-08-29,papal_personal_coronation,Ioannes PP. XXIII,,high,3
santa-maria-del-peratello-imola,Santa Maria del Peratello,,Blessed Virgin Mary with Child,"Chiesa (Monastero/Convento) di S. Maria del Piratello dei Padri del Terz'Ordine di S. Francesco, fuori della città d'Imola (sulla via Flaminia)",Imola,,Imola,Italy,1714-08-15,1714-08-15,chapter_decree,,"Mons. Giovanni Andrea Ricci, canonico di S. Pietro",high,2
santa-maria-di-costantinopoli-d-ischia-ischia,Santa Maria di Costantinopoli d'Ischia,,Blessed Virgin Mary,Santa Maria di Costantinopoli,Ischia,,,Italy,1791,1791,chapter_decree,,,low,1
maria-ausiliatrice-madonna-del-soccorso-dei-cris,Maria Ausiliatrice (Madonna del soccorso dei Cristiani),Beata Maria Virgo « Auxilium Christianorum »,Blessed Virgin Mary,"Templum coenobii Sancti Georgii Maioris (San Giorgio Maggiore), O.S.B.","Isola di San Giorgio Maggiore, Venice",Venetiarum (Patriarchatus),Venice,Italy,1893,1893,retrospective_attestation,Pius PP. XII,,high,1
santa-maria-di-civita-nella-chiesa-d-itri-itri,Santa Maria di Civita nella Chiesa d'Itri,,Blessed Virgin Mary,Santuario della Madonna della Civita,Itri,,,Italy,1777,1777,chapter_decree,,,low,1
santa-maria-delle-grazie-nella-chiesa-de-carmeli-2,Santa Maria delle Grazie nella Chiesa de' Carmelitani di Jesi,,Blessed Virgin Mary,Chiesa dei Carmelitani (Madonna delle Grazie),Jesi,,,Italy,1745,1745,chapter_decree,,,low,1
santa-maria-della-misericordia-nella-chiesa-di-s,Santa Maria della Misericordia nella Chiesa di S. Pietro di Jesi,,Blessed Virgin Mary,San Pietro (Madonna della Misericordia),Jesi (San Pietro),,,Italy,1784,1784,chapter_decree,,,low,1
maria-santissima-della-neve-del-monte-sirino-lag,Maria Santissima della Neve del Monte Sirino,Imago beatae Mariae Virginis cum Iesu infante titulo « Maria Santissima della Neve del Monte Sirino »,Blessed Virgin Mary,Sanctuarium Montis Sirini,Lagonegro,,,Italy,2000-09-20,2000-09-20,papal_personal_coronation,Ioannes Paulus PP. II,,medium,1
madonna-del-ponte-lanciano,Madonna del Ponte,"pervetus B. M. V. figulinum simulacrum, B. M. V. de Ponte",Blessed Virgin Mary,Ecclesia metropolitana Lancianensis B. M. V. de Ponte dicata,Lanciano,Lancianensis,Lanciano,Italy,1833,1833,retrospective_attestation,Pius PP. X,,high,1
mater-domini-laterza,Mater Domini,,Blessed Virgin Mary,Santuario diocesano di Maria Santissima Mater Domini,Laterza,,,Italy,1888-05-20,1888-05-20,chapter_decree,,,medium,1
madonna-del-pilastrello-lendinara,Madonna del Pilastrello,"simulacrum Virginis Iesum Infantem ulnis gestantis, B. M. V. de Pila parva",Blessed Virgin Mary,"Templum B. Mariae Virginis de Pila parva, vulgo ""dei Pilastrello"" (Olivetan monastery church)",Lendinara,Adriensis,Adria,Italy,1906,1906,retrospective_attestation,Pius PP. X,,high,1
madonna-di-loreto-loreto-lauretum-2,Madonna di Loreto,,Blessed Virgin Mary with Child (statue),,Loreto (Lauretum),,,Italy,1500,1500,papal_personal_coronation,,,low,1
madonna-di-loreto-loreto-lauretum,Madonna di Loreto,Beata Maria Virgo Lauretana (venerabile simulacrum),Blessed Virgin Mary,Alma Domus Lauretana (basilica Lauretana),Loreto (Lauretum),Recinetensis et Lauretana,Recanati-Loreto,Italy,1922,1922,papal_personal_coronation,Pius PP. XI,Petrus Card. Gasparri,high,3
santa-maria-del-sasso-nella-chiesa-degli-agostin,Santa Maria del Sasso nella Chiesa degli Agostiniani di Lucca,,Blessed Virgin Mary,Chiesa degli Agostiniani (Madonna del Sasso),Lucca,,,Italy,1690-04-30,1690-04-30,chapter_decree,,,medium,2
madonna-dei-miracoli-lucca-san-tommaso-in-peller,Madonna dei Miracoli,,Blessed Virgin Mary,San Tommaso in Pelleria,Lucca (San Tommaso in Pelleria),,,Italy,1797-09-27,1797-09-27,chapter_decree,,,medium,1
madonna-del-molino-lugo,Madonna del Molino,signum Almae Deiparae,Blessed Virgin Mary,"Ecclesia B. Mariae V. in Caelum Assumptae (Basilica Minor), Lugo",Lugo,Imolensis,Imola,Italy,1856,1856,retrospective_attestation,Pius PP. XII,,high,1
s-maria-delle-vergini-nella-chiesa-de-carmelitan,S. Maria delle Vergini nella Chiesa de' Carmelitani di Macerata,,Blessed Virgin Mary,Chiesa dei Carmelitani (Santa Maria delle Vergini),Macerata,,,Italy,1696,1696,chapter_decree,,,low,1
santa-maria-della-misericordia-di-macerata-macer,Santa Maria della Misericordia di Macerata,Beata Maria Virgo de Misericordia,Blessed Virgin Mary,Sanctuarium Beatae Mariae Virginis de Misericordia,Macerata,Maceratensis,Macerata,Italy,1721-08-24,1721-08-24,chapter_decree,Benedictus PP. XV,,high,2
beata-vergine-della-salute-macerata,Beata Vergine della Salute,,Blessed Virgin Mary,San Giorgio,Macerata,,,Italy,1749-05-11,1749-05-11,chapter_decree,,,low,1
santa-maria-di-macereto-di-visso-macereto-visso,Santa Maria di Macereto di Visso,,Blessed Virgin Mary,Santuario di Macereto,Macereto (Visso),,,Italy,1759,1759,chapter_decree,,,low,1
santa-maria-del-mare-in-maggiore-maiori,Santa Maria del Mare in Maggiore,,Blessed Virgin Mary,Santa Maria a Mare,Maiori,,,Italy,1768,1768,chapter_decree,,,low,1
santa-maria-de-avvocata-nella-chiesa-dell-eremo,Santa Maria de Avvocata nella Chiesa dell'Eremo de' Camandolesi,,Blessed Virgin Mary,Eremo dei Camaldolesi (Madonna Avvocata),"Maiori (Eremo dell'Avvocata), diocese of Amalfi",,,Italy,1743,1743,chapter_decree,,,low,1
santa-maria-dell-eremita-nostra-signora-della-mi,"Santa Maria dell’Eremita, Nostra Signora della Misericordia",,Blessed Virgin Mary,Santuario di Nostra Signora della Misericordia all'Eremita,Mallare (Eremita),,,Italy,1876-09-10,1876-09-10,chapter_decree,,,medium,1
santa-maria-di-marzano-marzano-diocese-of-nola,Santa Maria di Marzano,,Blessed Virgin Mary,Santa Maria di Marzano,Marzano (diocese of Nola),,,Italy,1778,1778,chapter_decree,,,low,1
madonna-della-lobra-massa-lubrense,Madonna della Lobra,,Blessed Virgin Mary,Santuario di Santa Maria della Lobra,Massa Lubrense,,,Italy,1804-08-12,1804-08-12,chapter_decree,,,medium,1
madonna-della-bruna-matera,Madonna della Bruna,"imago Beatae Mariae Virginis, cui olim appellatio « a Matera » vel « ab episcopio » adiciebatur",Blessed Virgin Mary,"Cathedralis (metropolitana) ecclesia Materanensis, Beatae Mariae Virgini et Sancto Eustachio sacra",Matera,Materanensis,Matera,Italy,1843,1843,retrospective_attestation,Ioannes PP. XXIII,,medium,1
santa-maria-assunta-nella-chiesa-di-santa-maria,Santa Maria Assunta nella Chiesa di Santa Maria,,Blessed Virgin Mary,Santa Maria presso San Celso,Milan (Milano),,,Italy,1691,1691,chapter_decree,,,low,1
image-militello-in-val-di-catania,,,Blessed Virgin Mary,,Militello in Val di Catania,,,Italy,1763,1763,chapter_decree,,,low,1
simulacrum-beatae-mariae-virginis-in-caelum-assu,,Simulacrum Beatae Mariae Virginis in Caelum Assumptae,Blessed Virgin Mary,Ecclesia Praeposituralis Sancti Victoris Martyris (Sanctuarium),Missaglia,Mediolanensis,Milan,Italy,,,retrospective_attestation,Pius PP. XII,,low,1
image-monchiero,,,Blessed Virgin Mary,,Monchiero,,,Italy,1772,1772,chapter_decree,,,low,1
santa-maria-di-moncheri-monchiero,Santa Maria di Moncheri,,Blessed Virgin Mary,Santa Maria,Monchiero,,,Italy,1772,1772,chapter_decree,,,low,1
santa-maria-di-mongiovino-di-citta-della-pieve-m,Santa Maria di Mongiovino di Città della Pieve,,Blessed Virgin Mary,Santuario di Mongiovino,"Mongiovino (Panicale), diocese of Città della Pieve",,,Italy,1685,1685,chapter_decree,,,low,1
santa-maria-di-monopoli-monopoli-apulia,Santa Maria di Monopoli,Virgo a Madia,Blessed Virgin Mary,Cathedral of Monopoli,Monopoli (Apulia),Monopolitana,Monopoli,Italy,1769,1769,chapter_decree,Benedictus PP. XV,,high,2
santa-maria-del-popolo-nella-metropolitana-di-mo,Santa Maria del Popolo nella Metropolitana di Montereale,,Blessed Virgin Mary,Cattedrale (Madonna del Popolo),Monreale,,,Italy,1761,1761,chapter_decree,,,low,1
image-monreale,,,Blessed Virgin Mary,,Monreale,,,Italy,1762,1762,chapter_decree,,,low,1
madonna-di-fontenuova-monsummano-terme,Madonna di Fontenuova,Alma Deipara a « Fontenova » appellata,Blessed Virgin Mary,Templum paroeciale oppidi « Monsummano Terme »,Monsummano Terme,Pisciensis,Pescia,Italy,1782,1782,retrospective_attestation,Paulus PP. VI,,medium,1
madonna-di-pine-montagnaga-di-pine,Madonna di Piné,,Blessed Virgin Mary,Santuario della Madonna di Piné,Montagnaga di Piné,,,Italy,1894-08-11,1894-08-11,chapter_decree,,,medium,1
maria-santissima-della-divina-provvidenza-montal,Maria Santissima della Divina Provvidenza,imago B. M. V. a divina Providentia,Blessed Virgin Mary,sacra aedes urbis Montalbano Elicona,Montalbano Elicona,Messanensis,Messina,Italy,,,papal_coronation_act,Ioannes Paulus PP. II,,high,1
santa-maria-del-soccorso-di-monte-alcino-montalc,Santa Maria del Soccorso di Monte Alcino,,Blessed Virgin Mary,Madonna del Soccorso,Montalcino,,,Italy,1718,1718,chapter_decree,,,low,1
assumptio-dei-genetricis-a-gulielmo-caccia-quem,,"Assumptio Dei Genetricis, a Gulielmo Caccia, quem et « Moncalvo » appellant, coloribus expressa",Blessed Virgin Mary,Templum B. Mariae Virginis in caelum Assumptae in monte « Crea »,Monte Crea (Montferrat),Casalensis,Casale Monferrato,Italy,1890-08-05,1890-08-05,retrospective_attestation,Pius PP. XII,,medium,1
santa-maria-delle-vertighe-di-monte-savino-monte,Santa Maria delle Vertighe di Monte Savino,,Blessed Virgin Mary,Santuario delle Vertighe,Monte San Savino,,,Italy,1749,1749,chapter_decree,,,low,1
santa-maria-di-monte-nero-montenero-livorno,Santa Maria di Monte Nero,,Blessed Virgin Mary,Santuario di Montenero,Montenero (Livorno),,,Italy,1690,1690,chapter_decree,,,low,1
madonna-di-san-martino-b-ma-vergine-detta-di-s-m,Madonna di San Martino (B.ma Vergine detta di S. Martino),Sanctissimae Virginis Mariae nuncupatae S. Martini; Mariae Virginis de S. Martino nuncupatae; Imagines Beatae Mariae Virginis et Pueri Domini nostri Jesu Christi existentes in Ecclesia Cathedrali Politiana,Blessed Virgin Mary with Child,Chiesa Cattedrale di Montepulciano (cappella / altare della Madonna di S. Martino; image translated there from the church of S. Maria di S. Martino extra moenia on 6 Jan 1612),Montepulciano,,Montepulciano (Politiana),Italy,1707-11-06,1707-11-06,chapter_decree,,"Abbate Gio. Andrea Ricci (Abbas Joannes Andreas Riccius, Politianus, canon of St Peter's), delegate of the Vatican Chapter",high,2
santa-maria-delle-grazie-nella-chiesa-de-carmeli,Santa Maria delle Grazie nella Chiesa de' Carmelitani di Monte Pulciano,,Blessed Virgin Mary,Chiesa dei Carmelitani (Madonna delle Grazie),Montepulciano,,,Italy,1741-09-24,1741-09-24,chapter_decree,,,medium,2
santa-maria-in-s-biagio-di-montepulciano-montepu,Santa Maria in S. Biagio di Montepulciano,,Blessed Virgin Mary,San Biagio,"Montepulciano, San Biagio",,,Italy,1681,1681,chapter_decree,,,medium,2
santa-maria-de-soviore-di-monte-rosso-monterosso,Santa Maria de Soviore di Monte Rosso,,Blessed Virgin Mary,Santuario di Soviore,Monterosso al Mare,,,Italy,1749,1749,chapter_decree,,,low,1
santa-maria-in-s-rocco-di-monte-rotondo-monterot,Santa Maria in S. Rocco di Monte Rotondo,,Blessed Virgin Mary,San Rocco,Monterotondo,,,Italy,1765,1765,chapter_decree,,,low,1
santa-maria-di-montevergine-madonna-di-monte-ver,"Santa Maria di Montevergine (Madonna di Monte Vergine, anticamente detta di Costantinopoli)",Sacratissima Imago Beatissimae Virginis Mariae quae in Ecclesia ... Ord. S. Benedicti [Congregationis Montis Virginis] Beneventanae Dioecesis colitur,Blessed Virgin Mary with Child ('relicto reliquo corpore cum Infante Jesu pariter depicto'),"church of the Order of St Benedict, Congregation of Montevergine, in the diocese of Benevento (OCR variants: 'Ecclesia Insignis Abbatiae Ord. S. Benedicti'; 'Ecclesia S. Angeli Acepont: Ord:s Benedicti'; 'Ecclesia Aedisq. Monialium Asceterii Ord. S. Benedicti Congregationis Montis Virginis')","Montevergine (Monte Vergine, near Avellino) — reading uncertain",,"nullius dioecesis, Provincia Beneventana (attestation: 'Beneventanae Dioecesis'); Regno di Napoli, Principato Ultra",Italy,1712-05-14,1712-05-14,chapter_decree,,"Canon Abbot Riccardo Howard of the Dukes of Norfolk (OCR variants: 'Niccardo Sforciade ex Ducibus Novaepholiae', 'Oricordi', 'Ricciardi Abb.', 'Suardo', 'Guardi', 'San-Guardj')",high,2
santa-maria-di-valle-del-prato-di-monticelli-mon,Santa Maria di Valle del Prato di Monticelli,,Blessed Virgin Mary,Madonna di Valle Prata,"Monticchiello (Pienza), diocese of Chiusi",,,Italy,1747,1747,chapter_decree,,,low,1
madonna-della-consolazione-madonna-di-valle-prat,"Madonna della Consolazione, Madonna di Valle Prata",,Blessed Virgin Mary,Santuario della Madonna di Val di Prata,Monticello Amiata,,,Italy,1747-06-04,1747-06-04,chapter_decree,,,medium,1
santa-maria-di-col-de-venti-della-muccia-muccia,Santa Maria di Col de' Venti della Muccia,,Blessed Virgin Mary,Madonna di Col di Venti,Muccia (Col di Venti),,,Italy,1778,1778,chapter_decree,,,low,1
immacolata-immacolata-di-placido-baccher-naples,Immacolata (Immacolata di Placido Baccher),Simulacrum Beatissimae Virginis (Immaculatae Conceptionis),Blessed Virgin Mary,"Vetus ecclesia Ssmo Nomini Iesu dicata (a Iesu veteri), Neapoli",Naples,Neapolitana,Naples,Italy,1826-12-30,1826-12-30,retrospective_attestation,Pius PP. X; Pius PP. XII,Cardinalis Ruffo Scilla,high,3
madonna-addolorata-al-fiumicello-naples,Madonna Addolorata al Fiumicello,simulacrum B. Mariae Virginis Perdolentis,Blessed Virgin Mary,"Sacra Aedes B. Mariae Virgini Perdolenti dicata, vulgo "" al Fiumicello """,Naples,Neapolitana,Naples,Italy,1910-09-04,1910-09-04,retrospective_attestation,Benedictus PP. XV,,high,1
madonna-del-carmine-la-bruna-naples-neapolis,"Madonna del Carmine, «la Bruna»","icon Virginis, titulo « la Bruna »; B. Mariae Virginis de Carmelo",Blessed Virgin Mary,"Templum B. Mariae Virginis de Carmelo, vulgo « del Carmine Maggiore »",Naples (Neapolis),Neapolitana,Naples,Italy,1875,1875,retrospective_attestation,Benedictus PP. XV,,high,1
madonna-della-concezione-naples-theatine-nuns-of,Madonna della Concezione,,Blessed Virgin Mary,,"Naples, Theatine nuns of the Immaculate Conception",,,Italy,,,chapter_decree,,,low,1
